,ID,Tweet,anger,disgust,fear,joy,love,optimism,pessimism,sadness,trust,neg,pos,label,message_processed,message_length
1668,2017-En-31010,"Symmetry is Key, everything must be aesthetically pleasing as possible, that is why I hold you twin pistols. #DeathTheKid #Bot",0,0,0,0,0,1,0,0,0,0,1,0,symmetry key everything must aesthetically please possible hold twin pistol deaththekid bot,126
1669,2017-En-40648,@TheCatHeSay I may be #alwayshungry but I haven't sunk that low yet!! @Thereluctantcat,0,0,0,0,0,0,0,0,0,0,0,0,may alwayshungry sunk low yet,86
1670,2017-En-10859,@IllinoisLoyalty that Rutgers game was an abomination. An affront to God and man. We must never speak of it again.,1,1,0,0,0,0,0,1,0,3,0,1,rutgers game abomination affront god man must never speak,114
1672,2017-En-30374,"@gypsydragoness wrinkling up. 'Well now, looks here like your name starts with the letter G, eh?' The man smiled up and gave a hearty +",0,0,0,1,0,1,0,0,0,0,2,0,wrinkle well look like name start letter man smile give hearty,135
1673,2017-En-10481,He totally knew about it'. Trump finally gets revenge for his son-in-law's prosecution/imprisonment and throws Christie under the bus.,1,0,0,0,0,0,0,0,0,1,0,1,totally knew trump finally get revenge son law prosecution imprisonment throw christie bus,134
1675,2017-En-30731,@iyaycruz lets see chirp,0,0,0,0,0,0,0,0,0,0,0,0,let see chirp,24
1677,2017-En-11618,"@dreamsandpocky Like, despite all my irritation towards ur ship, at least its canon. BuckyNat is canon, (and clintwanda is canon)",1,1,0,0,0,0,0,0,0,2,0,1,like despite irritation towards ship least canon buckynat canon clintwanda canon,129
1678,2017-En-40579,"@TheRandomAnt @meg_m203 yeah, they figured that ornaments are way more wanted than spektar and desolate gear. Well they thought right.",0,0,0,0,0,1,0,0,0,0,1,0,yeah figure ornament way want spektar desolate gear well thought right,134
1679,2017-En-30429,Panda eyed jaunty after watching jaws until late!,0,0,0,1,0,0,0,0,0,0,1,0,panda eye jaunty watch jaw late,49
1680,2017-En-40548,Contactless affliction kart are the needs must regarding the psychological moment!: xbeUJGB,0,0,0,1,0,0,0,0,0,0,1,0,contactless affliction kart need must regard psychological moment xbeujgb,91
1681,2017-En-31042,Such merriment &amp; laughter from @dadwroteaporno at @KingsPlace &amp; an instructional PowerPoint presentation.Well done to all concerned &amp; thanks,0,0,0,1,0,1,0,0,0,0,2,0,merriment laughter instructional powerpoint presentation well do concern thanks,152
1682,2017-En-20430,My study skills are terrible ð,1,1,0,0,0,0,0,1,0,3,0,1,study skill terrible,33
1683,2017-En-10435,I don't even #feel #anger anymore can't explain it .. #Tulsa #Charlotte #Trayvon #SandraBland #Philando #Ferguson #BatonRouge #MichaelBrown,1,1,0,0,0,0,1,0,0,3,0,1,even feel anger anymore explain tulsa charlotte trayvon sandrabland philando ferguson batonrouge michaelbrown,139
1684,2017-En-21669,Projection is perception. See it in someone else? You also at some level have that within you. #anger #worry,1,1,1,0,0,0,0,0,0,3,0,1,projection perception see someone else also level within anger worry,108
1686,2017-En-10214,"People need a way to escape,escape what?This corrupted world.This reality. This joke.This fury of constant pain &amp; stress.We need a vacation",1,1,0,0,0,0,0,0,0,2,0,1,people need way escape escape corrupt world reality joke fury constant pain stress need vacation,143
1687,2017-En-41523,@ITdominiccoyle @IrishTimesBiz Between Barroso going to Goldman and this the @EU_Commission is getting a very serious self inflicted problem,0,1,0,0,0,0,0,0,0,1,0,1,barroso go goldman get serious self inflict problem,140
1688,2017-En-30942,@IreneEstry can't wait to see you Hun #cuddles #gossip #laughter,0,0,0,1,1,1,0,0,0,0,3,0,wait see hun cuddle gossip laughter,64
1690,2017-En-10240,"@UnitedFrontRev @JuanDeznuts @LucidHurricane_ sex offense happens across ALL races, cultures, and creeds &amp; they should be castrated",1,1,0,0,0,0,0,1,0,3,0,1,sex offense happen across race culture creed castrate,135
1692,2017-En-11357,@EASPORTS_MUT fix this home/away deptch chart invalid glitch. I have to close madden and re-open it everytime this happens,1,1,0,0,0,0,0,0,0,2,0,1,fix home away deptch chart invalid glitch close madden open everytime happens,122
1693,2017-En-22181,@icuminhoesasses Think about it if he need white peoples votes wouldn't just reach out about things that only concern them &amp; leave out rest?,1,1,0,0,0,0,0,0,0,2,0,1,think need white people vote reach thing concern leave rest,144
1696,2017-En-21676,"Bilal Abood, #Iraq #immigrant who lives in Mesquite, Texas, was sentenced to 48 months in prison for lying to the Feds about #terrorism.",1,1,1,0,0,0,0,0,0,3,0,1,bilal abood iraq immigrant live mesquite texas sentence month prison lie fed terrorism,136
1697,2017-En-22177,I know this is going to be one of those nights where it takes an Act of God to fall asleep.  #restless,0,0,0,0,0,0,1,1,0,2,0,1,know go one night take act god fall asleep restless,102
1698,2017-En-31158,Banger sit in 2013 reason why we great doings him alias for why we rejoice in he.: kzfqR,0,0,0,1,0,0,0,0,0,0,1,0,banger sit reason great doings alias rejoice kzfqr,88
1699,2017-En-10045,i feel furious,1,1,0,0,0,0,0,0,0,2,0,1,feel furious,14
1700,2017-En-20738,#nobody #understand what #advocate mean if you do then use it #right #never be #afraid so #positive word is. I can that is #POWERFUL,0,0,0,1,0,1,0,0,0,0,2,0,nobody understand advocate mean use right never afraid positive word powerful,132
1701,2017-En-22072,"I don't know what's worse, the new Pizza Hut commercials or the pizza that Pizza Hut makes. ",1,1,0,0,0,0,1,0,0,3,0,1,know bad new pizza hut commercial pizza pizza hut make,92
1703,2017-En-20591,I always thought I was too empathetic but it's becoming clear that the majority of you guys are plain insensitive to an alarming degree,1,1,0,0,0,0,0,0,0,2,0,1,always think empathetic become clear majority guy plain insensitive alarming degree,135
1704,2017-En-20437,"#NawazSharif says lets end #terror. Sure, let #IndianArmedForces target the bases without #Pakistan interference #Karma?",1,1,1,0,0,0,0,0,0,3,0,1,nawazsharif say let end terror sure let indianarmedforces target base without pakistan interference karma,120
1705,2017-En-41141,@faye_catherine happy anger sad melancholy confusion #woodspurge,1,1,0,0,0,0,1,1,0,4,0,1,happy anger sad melancholy confusion woodspurge,64
1707,2017-En-10172,"Dear future big brother players, just chase dick all season and you too can win 500,00 dollars and an Sti #bb18 #bitter",1,1,0,0,0,0,0,1,0,3,0,1,dear future big brother player chase dick season win dollar sti bitter,119
1708,2017-En-20333,@markhberman2003 @LanceZierlein @790blessing entire team from coaches on down played and coached scared from jumpstreet. #intimidated,1,1,1,0,0,0,0,0,0,3,0,1,entire team coach play coach scared jumpstreet intimidate,133
1709,2017-En-20682,@MidgetTamer @RAIDERS @52Mack_ Make him be a bully. Sit him in a room by himself and let him look at Debo all day.,1,1,0,0,0,0,0,1,0,3,0,1,make bully sit room let look debo day,114
1710,2017-En-31417,#PiersGough on thoroughly lively and imaginative developersââSager have always challenged us to do better and do better.â @IslingtonSq,0,0,0,1,0,1,0,0,1,0,3,0,piersgough thoroughly lively imaginative developer sager always challenge well well,140
1711,2017-En-20940,Check out @VovimPrgel - From Scotland #gamer #YouTuber #vlogger #designer #animator #artist. TY for following The Wake  #horrorfilm,0,0,1,0,0,0,0,0,0,1,0,1,check scotland gamer youtuber vlogger designer animator artist follow wake horrorfilm,131
1712,2017-En-11608,@macmel19 come play madden at my house after school,0,0,0,1,0,1,0,0,0,0,2,0,come play madden house school,51
1714,2017-En-22245,In other news. My legs hurt. #running #5kin26mins #dreadful #flatfeet,1,1,0,0,0,0,0,1,0,3,0,1,news leg hurt run kin min dreadful flatfoot,69
1715,2017-En-31551,Like I said â¡ there's plenty of cheddar in the cheese to go around! For everyone. âº ,0,0,0,1,1,1,0,0,0,0,3,0,like say plenty cheddar cheese around everyone,88
1716,2017-En-10757,@justinbieber Thank u Justin for this amazing concert. I can't believe that only u can provoke these thousand smiles these night#BelieveTour,0,0,0,1,1,1,0,0,0,0,3,0,thank justin amaze concert believe provoke thousand smile night believetour,140
1717,2017-En-22094,Why doesn't anybody I know watch penny dreadful? â¹ï¸ï¸,0,1,0,0,0,0,1,1,0,3,0,1,anybody know watch penny dreadful,58
1718,2017-En-30050,Thank you @twitter for the balloons today. #smile #goodday #48,0,0,0,1,1,0,0,0,0,0,2,0,thank balloon today smile goodday,62
1719,2017-En-30093,Currently listening to @ScottFoxonair &amp; @KatCallaghan @Z1035Toronto podcasts!! Can you guys please move to #yvr ? #hilarious #missyou,0,0,0,1,1,0,0,0,0,0,2,0,currently listen podcasts guys please move yvr hilarious missyou,137
1721,2017-En-20036,@AHSFX thanks Ryan &amp; Brad for scary the shit out of us in the first episode. Don't think my heart will make it through the s6 #horrific,1,0,1,0,0,0,0,1,0,3,0,1,thanks ryan brad scary shit first episode think heart make horrific,139
1722,2017-En-30130,#ContentwiththeLordsPortion:O satisfy us early with thy #mercy;that we may #rejoice &amp; be glad all our days.#Ps 90:14 #gladness #joy #delight,0,0,0,1,0,1,0,0,0,0,2,0,contentwiththelordsportion satisfy early thy mercy may rejoice glad day gladness joy delight,144
1723,2017-En-11108,@zavierdaniels had to snap going crazy ð­ð­,1,1,0,0,0,0,1,1,0,4,0,1,snap go crazy,47
1724,2017-En-31588,Well that draw is lively! #EFLCup,0,0,0,1,0,1,0,0,0,0,2,0,well draw lively eflcup,33
1725,2017-En-40021,Depression sucks! ,0,0,0,0,0,0,0,1,0,1,0,1,depression suck,18
1726,2017-En-20124,@WunderlistHelp are you guys still down? When can we go up? #panic,0,0,1,0,0,0,0,0,0,1,0,1,guy still panic,66
1727,2017-En-10801,Happiness is the best revenge,0,0,0,1,0,1,0,0,0,0,2,0,happiness best revenge,29
1728,2017-En-31472,"Everyday I wake up, a different @SpursOfficial player signs a contract extension! Love it!! #future #is #bright #COYS",0,0,0,1,1,1,0,0,0,0,3,0,everyday wake different player sign contract extension love future bright coys,117
1729,2017-En-22135,@CharlieEblacker hate being shy ð©,1,1,1,0,0,0,0,1,0,4,0,1,hate shy,36
1730,2017-En-40542,"@MoneyJay901 hard to tell in your pic. My mistake then. Either way, nothing I said initially was about race. U took it there.  #ignorant",1,1,0,0,0,0,0,0,0,2,0,1,hard tell pic mistake either way nothing say initially race take ignorant,136
1731,2017-En-20194,how maybe it was with you and your parents..that I would understand you and your fear of indifference from your own mom and dad..,0,0,1,0,0,0,0,1,0,2,0,1,maybe parent would understand fear indifference mom dad,129
1732,2017-En-40119,"This room is rather dreary, but we endure what we must.",0,1,0,0,0,0,1,0,0,2,0,1,room rather dreary endure must,55
1733,2017-En-11468,@AdamSinger bubble implies it will burst?,0,0,0,0,0,0,0,1,0,1,0,1,bubble implies burst,41
1734,2017-En-20847,@realDonaldTrump @KellyannePolls New campaign slogan idea...'I know you are but what am I?'  #Trump2016 #yourefired #deflect,1,1,0,0,0,0,0,0,0,2,0,1,new campaign slogan idea know trump yourefired deflect,124
1735,2017-En-20690,"my school photo is honestly horrid, i look so ewð",0,1,0,0,0,0,0,1,0,2,0,1,school photo honestly horrid look,52
1736,2017-En-30138,"When you wake up from a dream laughing at something stupid, and that makes you laugh more ",0,0,0,1,1,1,0,0,0,0,3,0,wake dream laugh something stupid make laugh,90
1737,2017-En-22034,"I'm mad at the injustice, so I'm going to smash my neighbours windows'.  Makes perfect sense. #CharlotteProtest ",1,0,0,0,0,0,0,0,0,1,0,1,mad injustice go smash neighbour windows make perfect sense charlotteprotest,112
1738,2017-En-10794,@DMAnthonyJoseph @TheClumpany No grudge. Only truth in abundance.,0,0,0,0,0,1,0,0,0,0,1,0,grudge truth abundance,65
1739,2017-En-40519,"That's me for the evening, though! Way too lit to finish these off properly without causing some serious mischief.",0,0,0,0,0,1,0,0,0,0,1,0,even though way lit finish properly without cause serious mischief,114
1740,2017-En-40253,@V_of_Europe @ckolacia MSM relentlessly saying DT can't win to: depress GOP turnout &amp; provide cover 4 stolen election!,1,1,0,0,0,0,1,1,0,4,0,1,msm relentlessly say win depress gop turnout provide cover steal election,122
1741,2017-En-11229,"A 28 yr old man threw a saucepan of boiling water at a garda, &amp; then hit the garda with the shaft of a brush...Letterkenny District Court.",0,0,0,0,0,0,0,0,0,0,0,0,old man throw saucepan boiling water garda hit garda shaft brush letterkenny district court,142
1743,2017-En-10976,When you want to say something so bad but can't ! #furious ð¤,1,1,0,0,0,0,0,1,0,3,0,1,want say something bad furious,63
1744,2017-En-31510,"Win,lose or draw vs LFC, all football fans will rejoice as West Ham &amp; Chelsea fans beat the shit out of each other in a council house! #COYS",0,0,0,1,1,1,0,0,0,0,3,0,win lose draw lfc football fan rejoice west ham chelsea fan beat shit council house coys,144
1745,2017-En-22234,"@stephtikkanen oh so true, so true. ",0,0,0,1,0,0,0,0,1,0,2,0,true true,36
1746,2017-En-30077,"now that I have my future planned out, I feel so much happier #goals #life  #igotthis #yay",0,0,0,1,0,1,0,0,0,0,2,0,future plan feel much happy goal life igotthis yay,90
1747,2017-En-11401,@HotpointUK 'customer service ' beyond appalling. Faulty dryer replacement breaks within wks no parts for 3 wks. Engineers no show. ,1,1,0,0,0,0,0,0,0,2,0,1,customer service beyond appal faulty dryer replacement break within wks part wks engineer show,132
1748,2017-En-20307,How I Murdered Your Mother #SpookyTv #horror,0,0,1,0,0,0,0,0,0,1,0,1,murder mother spookytv horror,44
1749,2017-En-20973,I delete numbers so quick with no hesitation,0,1,0,0,0,0,0,0,0,1,0,1,delete number quick hesitation,44
1751,2017-En-30274,@DuncM1981 @pmallon72 At the risk of being blocked I thought that video from the wake was hilarious.,0,0,0,1,0,1,0,0,0,0,2,0,risk block thought video wake hilarious,100
1752,2017-En-21004,How in the world did Nicole beat Paul?!?! #terrible #bb18 #BBFinale What was the jury thinking?? ð³ð³ð³,1,1,0,0,0,0,0,0,0,2,0,1,world nicole beat paul terrible bbfinale jury thinking,109
1753,2017-En-40090,Baaarissshhhhh + sad song =  prefect night â feeling alone,0,0,0,0,0,0,1,1,0,2,0,1,baaarissshhhhh sad song prefect night feel alone,60
1755,2017-En-21298,Annoyed with @TripAdvisorUK bullying me to download an app that eats my phone memory. Will seek alternative from now. #bully #tripadvisor,1,1,0,0,0,0,0,1,0,3,0,1,annoy bully download app eat phone memory seek alternative bully tripadvisor,137
1756,2017-En-21889,"@ShannonBeador we know the truth about her, the public is figuring it out. Her words mean nothing. #unhappy #mean #troubled #vile ",1,1,0,0,0,0,0,1,0,3,0,1,know truth public figuring word mean nothing unhappy mean trouble vile,130
1757,2017-En-41016,@reecetop10 Bk to 1 up top pack midfield Stifle any flair we possess kill any entertainers #dull #reshuffle #predictable #slow #average,1,1,0,0,0,0,1,1,0,4,0,1,top pack midfield stifle flair posse kill entertainers dull reshuffle predictable slow average,135
1759,2017-En-11072,Karev better not be out!!! Or I am seriously done DONE with @GreysABC  #unfair #ugh,1,0,1,0,0,0,0,1,0,3,0,1,karev good seriously do do unfair ugh,83
1760,2017-En-31184,Proverbs  27:9 Ointment and perfume rejoice the heart: so doth the sweetness of a man's friend by hearty counsel.\n#TruthfmDawnBreak,0,0,0,1,1,1,0,0,0,0,3,0,proverbs ointment perfume rejoice heart doth sweetness man friend hearty counsel truthfmdawnbreak,132
1761,2017-En-40048,Im really constipated. This is depressing,0,1,0,0,0,0,0,1,0,2,0,1,really constipate depressing,41
1762,2017-En-20291,@wwcummings @USATODAY this individual is clearly trying 2 #intimidate this #LEO I see an issue here. STOP CAUSING ISSUES by pushing limits!!,1,1,0,0,0,0,0,0,0,2,0,1,individual clearly try intimidate leo see issue stop cause issue push limit,140
1763,2017-En-41054,"#AutumnalEquinox the nights are drawing in, what a great time to look at putting up some new #lights #dark #showroom #news #wirral",0,0,0,1,0,0,0,0,0,0,1,0,autumnalequinox night draw great time look put new light dark showroom news wirral,130
1764,2017-En-40201,Isn't the whole 'it's been hijacked' argument the same argument used to ban or discourage the display of the St George's Cross? Shame @LBC,1,1,0,0,0,0,1,0,0,3,0,1,whole hijack argument argument use ban discourage display george cross shame,138
1765,2017-En-30377,- the joyous occasion of laughing at the ostentatious display of disrespect. Bruce just scoffed at the entire scene. This wasn't Batmanâs -,0,0,0,1,0,1,0,0,0,0,2,0,joyous occasion laugh ostentatious display disrespect bruce scoff entire scene batman,141
1766,2017-En-30460,Watch this amazing live.ly broadcast by @rosannahill  #musically,0,0,0,1,0,0,0,0,0,0,1,0,watch amaze live broadcast musically,64
1768,2017-En-30155,Thank you @RachelPlatten for teaching me how to live again. It's been so long since &amp; this ride is about to be exhilarating. I just know it,0,0,0,1,0,1,0,0,0,0,2,0,thank teach live long since ride exhilarating know,143
1769,2017-En-41290,#Gratitude - recovery health love God conscious drive hope perseverance wealthy home kids SoCal #recoveryfit youthful #sober,0,0,0,1,0,1,0,0,0,0,2,0,gratitude recovery health love god conscious drive hope perseverance wealthy home kid socal recoveryfit youthful sober,124
1770,2017-En-21762,That rocky horror remake looks a bit w a n k,1,1,1,0,0,0,0,0,0,3,0,1,rocky horror remake look bit,44
1771,2017-En-30658,I wish there were unlimited glee episodes:( so I could watch them forever. #gleegoodbye,0,0,0,1,1,0,0,0,0,0,2,0,wish unlimited glee episode could watch forever gleegoodbye,87
1772,2017-En-30074,"A #smile brightens your day and the day of everyone around you, so remember to #smile, it's #free. :-)",0,0,0,1,1,1,0,0,0,0,3,0,smile brightens day day everyone around remember smile free,102
1773,2017-En-10044,"Why does @dapperlaughs have to come to Glasgow on a night I am working. I am fucking gutted, been waiting for an appearance for ages ",1,1,0,0,0,0,0,0,0,2,0,1,come glasgow night work fuck gutted wait appearance age,133
1774,2017-En-10056,Absolutely fuming that some woman jumped into my prebooked taxi and drove off ð¡,1,0,0,0,0,0,0,0,0,1,0,1,absolutely fume woman jump prebooked taxi drove,82
1775,2017-En-21515,@ayeshashafique5 we are not concerned about Pakistan's internal affairs. But the terrorism as it's state &amp; economic policy.#terroristnation,1,1,1,0,0,0,0,0,0,3,0,1,concerned pakistan internal affair terrorism state economic policy terroristnation,143
1776,2017-En-20503,#Trump âs âMake America Great Againâ plan is exactly like the first 15 minutes of the #movie #ChildrenOfMen.\n\n#cages #terrorism #refugees,1,1,1,0,0,0,0,0,0,3,0,1,trump make america great plan exactly like first minute movie childrenofmen cage terrorism refugee,145
1778,2017-En-20154,im like 'this is better' in the moment cuz i panic and then later its so obviously not better. at every opportunity i choose to make it seem,0,0,1,0,0,0,0,1,0,2,0,1,like good moment cuz panic later obviously well every opportunity choose make seem,140
1779,2017-En-40118,@wabermes The @RavalliRepublic had a good one but then the reporter quit. #sad,0,0,0,0,0,0,1,1,0,2,0,1,good one reporter quit sad,78
1780,2017-En-11074,@JessicaValenti @nytimes I don't know... Wasn't punk mostly about white men throwing tantrums?,0,0,0,0,0,0,0,0,0,0,0,0,know punk mostly white men throw tantrum,94
1781,2017-En-30098,@airvistara as always it was indeed a wonderful experience flying with you guys today #bestinbusiness  #happyme,0,0,0,1,0,1,0,0,0,0,2,0,always indeed wonderful experience fly guy today bestinbusiness happyme,111
1782,2017-En-20522,@williamcontrol just preordered The Pale EP... Would have paid for the phone call... But I would have freaked out and not said anything ,0,0,1,0,0,0,1,1,0,3,0,1,preordered pale would pay phone call would freak say anything,136
1783,2017-En-10518,Paul forever. Paul should have won! Paul played such a better game! #BB18 #angry,1,1,0,0,0,0,0,0,0,2,0,1,paul forever paul paul play well game angry,80
1785,2017-En-30955,#terribledebatequestions has given me so many laughs this afternoon! Thanks Twitter! #hilarious #cleverpeople,0,0,0,1,1,1,0,0,0,0,3,0,terribledebatequestions give many laugh afternoon thanks twitter hilarious cleverpeople,109
1786,2017-En-10269,Did we miss the fact that #BurkeRamsey swung &amp;hit his sister #JonBenet in the face with a golf club previously out of a fit of #anger?,1,1,0,0,0,0,0,0,0,2,0,1,miss fact burkeramsey swung hit sister jonbenet face golf club previously fit anger,138
1787,2017-En-20925,Look at this #massiah of #youngleader\n#Pakistan #massiah of ,0,0,0,0,0,0,0,0,0,0,0,0,look massiah youngleader pakistan massiah,61
1788,2017-En-40141,And I won't even get started with Hillary and her fancy fundraisers! #depressing,0,1,0,0,0,0,0,1,0,2,0,1,even get start hillary fancy fundraiser depress,80
1789,2017-En-10769,@sueblue35 @nsoz7 @immortalbulldog huh? We have a sprint coach? We're the slowest team in the comp. Talk about robbing a living. ,1,1,0,0,0,0,0,1,0,3,0,1,huh sprint coach slow team comp talk rob living,129
1791,2017-En-21841,@ClaretNBlues forest gate u could see he was a bully cunt big bald cunt his mates looked in shock when I hit him and didn't do shit when he,1,1,0,0,0,0,0,0,0,2,0,1,forest gate could see bully cunt big bald cunt mate look shock hit shit,139
1792,2017-En-31155,Loving  #Pitch so far !! ð¤ð¤ð¤ @PITCHonFOX @Global_TV  #chills #smiling,0,0,0,1,1,1,0,0,0,0,3,0,love pitch far chill smile,78
1793,2017-En-11532,#IndiaMissingIndira that she could never solve Kashmir Problem and kept it burning for Vote Bank\n#TerrorStatePak,1,1,0,0,0,0,0,0,0,2,0,1,indiamissingindira could never solve kashmir problem keep burn vote bank terrorstatepak,113
1794,2017-En-30190,"Riding at night has got to be one of the most exhilarating, refreshing things I have ever done.",0,0,0,1,0,1,0,0,0,0,2,0,rid night get one exhilarate refresh thing ever do,95
1795,2017-En-10849,Follow up. Follow through. Be #relentless. #success,0,0,0,1,0,1,0,0,0,0,2,0,follow follow relentless success,51
1797,2017-En-21801,to shake and my mouth was chattering and I couldn't take right because all of my body was trembling so I went outside,0,0,1,0,0,0,1,1,0,3,0,1,shake mouth chatter take right body tremble go outside,117
1799,2017-En-11135,#ADP's #ezlabor web portal has to be THE SLOWEST web app I have ever had the displeasure of using!!,1,1,0,0,0,0,0,1,0,3,0,1,adp ezlabor web portal slowest web app ever displeasure use,99
1800,2017-En-41407,Very depressing seeing my whole fam packing to go on holiday tomorrow and I'm just staying here ð,0,0,0,0,0,0,0,1,0,1,0,1,depress see whole fam pack holiday tomorrow stay,100
1801,2017-En-21552,@Masonicmoron i always hesitate to update.  At least it's no the horrors iPhone users endure every few months ðð,0,1,1,0,0,0,0,0,0,2,0,1,always hesitate update least horror iphone user endure every month,118
1802,2017-En-10639,schneiderlin taking his revenge for the 2 fouls,1,0,0,0,0,0,0,0,0,1,0,1,schneiderlin take revenge foul,47
1803,2017-En-41508,@RealTimBooth I've never been fond of having dark eyes until seeing this share.,0,0,0,1,0,1,0,0,0,0,2,0,never fond dark eye see share,79
1804,2017-En-20789,If Monday had a face I would punch it #monday  #face #punch #fight #joke #like #firstworldproblems #need #coffee #asap #follow,1,1,0,0,0,0,0,1,0,3,0,1,monday face would punch monday face punch fight joke like firstworldproblems need coffee asap follow,126
1805,2017-En-21648,@Naya_Eclissu + me!'\n\nAnd that's when she suddenly became quiet as her lips started to tremble \n\n'...........Naya'\n\n'I don't want to +,0,0,0,0,0,0,0,0,0,0,0,0,nand suddenly become quiet lip start tremble naya want,140
1806,2017-En-10940,Lol little things like that make me so angry x,1,1,0,0,0,0,0,0,0,2,0,1,lol little thing like make angry,46
1807,2017-En-41320,"Cuddling literally kills depression, relieves anxiety, and strengthens the immune system.",0,0,0,0,0,1,0,0,0,0,1,0,cuddle literally kill depression relief anxiety strengthen immune system,89
1808,2017-En-40742,@Hails_Berry8 @sajedhariri23 varsity pine riding,0,0,0,1,0,0,0,0,0,0,1,0,varsity pine rid,48
1809,2017-En-20573,I hate that a black lady is painting herself white on the internet for laughs and likes... #terrible #BadForm #DidntLaugh,1,1,0,0,0,0,0,1,0,3,0,1,hate black lady paint white internet laugh likes terrible badform didntlaugh,121
1811,2017-En-20902,This has #turned out #better then I expected admitting you tried to #intimidate ðð #cantstoplaughing I really can't and it's in #spokeword,0,0,0,1,0,0,0,0,0,0,1,0,turn well expect admit tried intimidate cantstoplaughing really spokeword,144
1812,2017-En-10384,"@SiobhanSynnot  Oh, good God. Quentin Letts is doing one of his 'comedy' turns. #angry @bbcthisweek @afneil #BBCTW",1,1,0,0,0,0,0,0,0,2,0,1,good god quentin letts one comedy turn angry bbctw,114
1813,2017-En-10784,"@FrizzeyesJr meeee, i'm lvl 320 and i have not a single relentless",1,0,0,0,0,0,0,1,0,2,0,1,meeee lvl single relentless,66
1814,2017-En-20948,@BBCTomEnglish @TimesSport And the dreadful Franglaise.,1,1,1,0,0,0,0,0,0,3,0,1,dreadful franglaise,55
1815,2017-En-21588,"@NGilbert92 @_c0urtknee_ haha it's me, shocking I know ð you'll hear me moan I'm too cold in winter âï¸",0,0,0,1,0,1,0,0,0,0,2,0,haha shock know hear moan cold winter,109
1817,2017-En-41518,@flybe Doesn't explain the ability to land at Manchester but not Bradford - other than more convenient for Flybe. Many unhappy travelers,0,0,0,0,0,0,1,1,0,2,0,1,explain ability land manchester bradford convenient flybe many unhappy traveler,136
1818,2017-En-11050,You sting like a bee but you're still my honey.,0,0,0,1,1,1,0,0,0,0,3,0,sting like bee still honey,47
1820,2017-En-30171,Watch this amazing live.ly broadcast by @izzybuzy365  #musically,0,0,0,1,0,0,0,0,0,0,1,0,watch amaze live broadcast musically,64
1821,2017-En-41272,Actually I always idealize the end of my relationships .. Such a pessimist,0,0,0,0,0,0,1,0,0,1,0,1,actually always idealize end relationship pessimist,74
1822,2017-En-30368,@sportinglifecan I keep a down vest or sweater in my pack year round! Helps on chilly mornings or breezy mountain tops! #mysportinglife,0,0,0,1,0,1,0,0,0,0,2,0,keep vest sweater pack year round help chilly morning breezy mountain top mysportinglife,135
1823,2017-En-10319,"I really really resent having to go to bed at a sensible hour, you guys. I WANT TO TALK TO MY PEOPLE.",1,1,0,0,0,0,0,1,0,3,0,1,really really resent bed sensible hour guy want talk people,101
1824,2017-En-10156,@oreillyfactor why dont #blm #thugs want #justice when its black on black #gang crime? They only #rage and cry #racism when its a #cop,1,1,0,0,0,0,1,1,0,4,0,1,dont blm thug want justice black black gang crime rage cry racism cop,134
1825,2017-En-11253,"@MagicalMunicorn May I suggest, that you have a meal that is made with beans, onions &amp; garlic, the day before class. ",0,0,0,1,0,0,0,0,1,0,2,0,may suggest meal make bean onion garlic day class,121
1827,2017-En-30881,I hate it when im singing and some idiot thinks they can just join in with me like...this is not fcking glee #MeanRikonaBot,1,1,0,0,0,0,0,0,0,2,0,1,hate sing idiot think join like fcking glee meanrikonabot,123
1830,2017-En-41184,Dentist just said to me' I'm going to numb your front lip up so it'll feel as if you've got lips like Pete Burns!...... She was right #pout,0,0,0,0,0,0,0,1,0,1,0,1,dentist say go numb front lip feel get lip like pete burn right pout,139
1831,2017-En-10072,it makes me so fucking irate jesus. nobody is calling ppl who like hajime abusive stop with the strawmen lmao,1,1,0,0,0,0,0,1,0,3,0,1,make fuck irate jesus nobody call ppl like hajime abusive stop strawman lmao,109
1832,2017-En-40022,It's been a week of awful connectivity with @TMobile no service or only 4G is not what Im paying for. #unhappy #poorservice,1,1,0,0,0,0,0,1,0,3,0,1,week awful connectivity service pay unhappy poorservice,123
1833,2017-En-10621,People often grudge others what they cannot enjoy themselves.,1,1,0,0,0,0,0,0,0,2,0,1,people often grudge others enjoy,61
1834,2017-En-11196,"Yeah I'm hot nigga, they say im burning uhhhhh",1,1,0,0,0,0,0,0,0,2,0,1,yeah hot nigga say burn uhhhhh,46
1835,2017-En-22021,"They want as police state, they are fearful imbeciles..@interpretingall @mikefar1974 @MetalMilitia74 @Cmvazquez103",1,1,1,0,0,0,0,0,0,3,0,1,want police state fearful imbecile,114
1836,2017-En-22024,"Goodbye everyone, tremendous #LTHEchat tonight",0,0,0,1,0,1,0,0,0,0,2,0,goodbye everyone tremendous lthechat tonight,46
1837,2017-En-30191,"Lmboo , using my nephew for meme #hilarious",0,0,0,1,1,0,0,0,0,0,2,0,lmboo use nephew meme hilarious,43
1838,2017-En-11279,@AmericanAir I am irate at you check-in system. I have tried to checkin all day and it wouldn't let me do it because I had no seat assigned,1,1,0,0,0,0,0,0,0,2,0,1,irate check system try checkin day let seat assign,139
